,sxiv,"image viewer"
,chafa, "to preview images in lf"
,man,"manual page reader"
,pass, "password manager"
A,ytop, "task manager"
,fzf, "fuzzy finder"
A,pass-tomb, "to protect the architecture of the passwords"
,xorg-server, "graphical server"
,xorg-xinit, "starts the graphical server"
,xorg-xev, "to print keycodes"
,xorg-xinput, "to manage x devices"
,xorg-xprop, "to detect window properties"
,xorg-xrandr, "to manage resolutions"
,xorg-xset, "to manage x rate"
,fcron, "cronjobs manager"
,xwallpaper, "to set wallpaper"
,xcompmgr, "to manage transparency"
,ttf-linux-libertine, "fonts for sans-serif and sans"
,ttf-liberation, "fonts for monospace"
,openssh, "needed to easily restart dwm and for ssh"
,noto-fonts-emoji, "emoji font"
,gimp, "to edit graphically images"
,nvidia, "nvidia drivers"
,dash, "posix shell"
,lynx, "cli browser"
,vimb, "graphical browser"
,mpv, "nice video player"
,wmname, "set the name of the wm"
,highlight, "highlights code, used for lf preview"
,xorg-fonts,"fonts for graphical server"
,unclutter, "to remove mouse when idle"
,zathura,"pdf viewer"
,zathura-pdf-mupdf, "allows mupdf compatibility in zathura"
,xorg-util-macros, "needed for the installation of libxft-bgra-git"
A,libxft-bgra-git, "to handle emoji font in suckless softs"
A,lf-git, "is an extensive terminal file manager"
,git,"dling config repos"
G,https://github.com/LukeSmithxyz/st, "simple terminal emulator"
G,https://github.com/LukeSmithxyz/dmenu, "suckless soft launcher and much more"
G,https://github.com/LukeSmithxyz/dwmblocks, "status bar for window manager"
